,compound,score
0,O=C(CNC(=O)c1ccc(Br)o1)NCCc1ccc(F)cc1,0
1,C=CCNC(=O)CCC(=O)NNc1nc2ccccc2c2nc(-c3ccccc3)nn12,1
2,COc1ccc(NC(=O)c2cnc(SC)n2-c2ccc(F)cc2)c(OC)c1,0
3,COc1cc(OC)cc(C(=O)NCCc2ccc(OC)c(OC)c2)c1,0
4,COC(=O)c1cccc2nc3c(C(C)O)cccc3nc12,1
5,COc1ccc2nc3oc(C(=O)N4CCN(c5cccc(C(F)(F)F)c5)CC4)cc3cc2c1,0
6,O=C(Cn1nnc(-c2ccccc2F)n1)Nc1ccc2c(c1)OCO2,0
7,C[C@@H]1CC[C@@H](n2ncc(C(C)(C)O)n2)CN1C(=O)c1cc(F)ccc1-n1nccn1,1
8,Cc1cnc(-c2ncccn2)c(C(=O)N2CC3CC(Nc4ccc(C(F)(F)F)cn4)C2C3)c1,1
9,COc1cccc(-c2noc([C@@H]3CCCN3C(=O)c3cc(C)ccc3-n3nccn3)n2)c1OC,1
10,Cc1noc(C)c1C(=O)N1CCC(CO)(Cc2ccccc2)CC1,0
11,Cc1nc(N2CCN(C(=O)c3cccs3)CC2)c2c3c(sc2n1)CCCC3,0
12,Cc1ccc(-c2ccccn2)c(C(=O)N2CCC[C@@H](C)[C@H]2CNc2nc3cc(Cl)ccc3o2)n1,1
13,CNC(=O)c1ccc(OCc2ccccc2)c(OC)c1,0
14,CCn1c(S)nnc1CSc1nc2ccccc2s1,0
15,N#Cc1ccnc(N2CC[C@@H]3CCN(C(=O)c4ccccc4-n4nccn4)C[C@@H]32)n1,1
16,Cc1ccc(-n2nccn2)c(C(=O)N(C)[C@@H](C)Cn2cc(-c3ccc(F)cn3)cn2)c1,1
17,Cc1ccc(-c2nccs2)c(C(=O)N2CC(COc3ccc(F)c(C)c3)CCCC2C)c1,1
18,CCN1c2ccccc2-c2nc3ccccc3n2C1c1cccs1,0
19,CC(Cc1cccs1)NC(=O)Nc1ccc(Cl)c(Cl)c1,1
20,CCOc1ccc(C2CC(c3ccc(OC)c(OC)c3)n3nc(N)nc3N2)cc1,0
